ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.999999999999999289e+01,0.000000000000000000e+00,0.000000000000000000e+00
